depression_weight,suicidal_weight,val_macro_f1
1.05,1.4,0.8126323385137821
1.6,0.85,0.8126093489083941
1.25,0.75,0.8126069571092289
0.9,1.05,0.812585075600496
0.85,1.1,0.8125200331906179
1.7,0.9,0.812470426457995
0.85,1.0,0.8124441803791881
1.35,0.7,0.812423363736264
1.1,1.5,0.8123555707098848
1.0,1.35,0.8123293769619776
0.95,1.25,0.8122964362633217
0.85,1.05,0.8122875674276775
1.2,1.7,0.8122799132229483
1.45,0.75,0.8122129766400631
1.2,1.65,0.81221051420029
1.05,1.5,0.8121722481724294
0.95,1.35,0.8121502806906635
1.2,1.6,0.8121216841077725
1.25,0.7,0.8121114855229672
1.1,1.55,0.8120849555906554
1.15,1.6,0.8120604927651962
1.15,1.55,0.8120437947795347
0.8,0.9,0.8120069553413014
1.65,0.85,0.8119641323371933
0.95,1.3,0.811929978578967
1.4,0.7,0.8118993156176372
0.85,1.15,0.8118732171730716
1.0,1.4,0.8118511170536861
1.2,0.7,0.8118368186749791
1.05,1.6,0.8117927804579718
0.85,1.2,0.8116988219267571
0.8,0.95,0.811692625090447
0.9,1.25,0.8116473876369026
0.75,0.9,0.8116148590924435
1.05,1.65,0.811467422580376
0.9,1.2,0.8114288380602993
1.15,1.65,0.8113647793308755
1.55,0.8,0.8113525115741209
0.75,0.85,0.8113325713655355
1.0,1.45,0.8113162811416714
1.1,1.6,0.811301729673918
0.8,1.05,0.8112584992585348
0.8,1.0,0.8112211336202187
1.5,0.75,0.811195812620987
1.45,0.7,0.8111315706069466
1.05,1.55,0.8110057819205339
0.85,1.25,0.8109130288381095
0.95,1.45,0.8109029720845705
0.9,1.3,0.8108759204711643
0.95,1.4,0.8108661566182951
0.75,0.95,0.810846033848178
1.1,1.7,0.8108325885841765
0.85,1.3,0.8107127457634247
0.8,1.1,0.8106706930279864
1.6,0.8,0.8106553478120914
1.0,1.55,0.8105899522763587
1.55,0.75,0.8104413472656772
1.15,1.7,0.8104277940271809
1.0,1.6,0.8103882597162921
0.85,1.35,0.8103119302346683
0.8,1.15,0.8102011124407968
1.1,1.65,0.8101893496406023
1.0,1.5,0.8101805891822524
0.9,1.4,0.8101771945078169
